Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
63,8,6,5,9,Some Random Commen with Id 63
64,9,2,132,1,Some Random Commen with Id 64
65,9,2,141,0,Some Random Commen with Id 65
66,9,2,114,8,Some Random Commen with Id 66
67,9,2,138,9,Some Random Commen with Id 67
68,9,2,194,8,Some Random Commen with Id 68
69,9,2,191,3,Some Random Commen with Id 69
70,9,2,54,3,Some Random Commen with Id 70
71,9,2,124,4,Some Random Commen with Id 71
72,10,4,10,0,Some Random Commen with Id 72
73,10,4,191,1,Some Random Commen with Id 73
74,10,4,18,8,Some Random Commen with Id 74
75,11,4,113,5,Some Random Commen with Id 75
76,11,4,127,2,Some Random Commen with Id 76
77,11,4,56,8,Some Random Commen with Id 77
78,11,4,33,7,Some Random Commen with Id 78
79,11,4,143,4,Some Random Commen with Id 79
80,11,4,184,5,Some Random Commen with Id 80
81,11,4,122,3,Some Random Commen with Id 81
82,13,3,54,4,Some Random Commen with Id 82
83,13,3,191,2,Some Random Commen with Id 83
84,14,7,77,8,Some Random Commen with Id 84
85,14,7,121,2,Some Random Commen with Id 85
86,14,7,160,5,Some Random Commen with Id 86
87,14,7,140,2,Some Random Commen with Id 87
88,14,7,118,7,Some Random Commen with Id 88
89,14,7,111,1,Some Random Commen with Id 89
90,15,0,94,2,Some Random Commen with Id 90
91,15,0,60,0,Some Random Commen with Id 91
92,16,1,176,2,Some Random Commen with Id 92
93,16,1,34,1,Some Random Commen with Id 93
94,16,1,43,3,Some Random Commen with Id 94
95,16,1,7,4,Some Random Commen with Id 95
96,16,1,193,4,Some Random Commen with Id 96
97,16,1,172,3,Some Random Commen with Id 97
98,16,1,116,8,Some Random Commen with Id 98
99,17,9,63,5,Some Random Commen with Id 99
100,17,9,125,2,Some Random Commen with Id 100
101,17,9,57,0,Some Random Commen with Id 101
102,17,9,90,8,Some Random Commen with Id 102
103,17,9,157,4,Some Random Commen with Id 103
104,17,9,38,9,Some Random Commen with Id 104
105,17,9,94,4,Some Random Commen with Id 105
106,17,9,199,4,Some Random Commen with Id 106
107,18,0,138,8,Some Random Commen with Id 107
108,18,0,10,6,Some Random Commen with Id 108
109,18,0,93,4,Some Random Commen with Id 109
110,18,0,199,3,Some Random Commen with Id 110
111,18,0,39,7,Some Random Commen with Id 111
112,18,0,3,8,Some Random Commen with Id 112
113,18,0,52,5,Some Random Commen with Id 113
114,19,9,181,0,Some Random Commen with Id 114
115,20,3,68,5,Some Random Commen with Id 115
116,20,3,151,8,Some Random Commen with Id 116
117,20,3,164,1,Some Random Commen with Id 117
118,21,5,183,0,Some Random Commen with Id 118
119,21,5,192,9,Some Random Commen with Id 119
120,21,5,26,2,Some Random Commen with Id 120
121,21,5,60,8,Some Random Commen with Id 121
122,21,5,83,2,Some Random Commen with Id 122
123,21,5,181,5,Some Random Commen with Id 123
124,22,9,151,9,Some Random Commen with Id 124
125,23,8,191,8,Some Random Commen with Id 125
126,23,8,190,4,Some Random Commen with Id 126
127,23,8,94,0,Some Random Commen with Id 127
128,24,6,170,8,Some Random Commen with Id 128
129,24,6,110,5,Some Random Commen with Id 129
130,24,6,38,1,Some Random Commen with Id 130
131,24,6,131,4,Some Random Commen with Id 131
132,24,6,90,6,Some Random Commen with Id 132
133,24,6,54,0,Some Random Commen with Id 133
134,24,6,77,2,Some Random Commen with Id 134
135,25,8,174,0,Some Random Commen with Id 135
136,25,8,83,4,Some Random Commen with Id 136
137,27,5,96,4,Some Random Commen with Id 137
138,27,5,62,5,Some Random Commen with Id 138
139,27,5,1,6,Some Random Commen with Id 139
140,27,5,58,6,Some Random Commen with Id 140
141,27,5,75,5,Some Random Commen with Id 141
142,27,5,199,3,Some Random Commen with Id 142
143,27,5,12,6,Some Random Commen with Id 143
144,27,5,151,6,Some Random Commen with Id 144
145,27,5,67,6,Some Random Commen with Id 145
146,28,6,18,8,Some Random Commen with Id 146
147,28,6,161,4,Some Random Commen with Id 147
148,28,6,168,9,Some Random Commen with Id 148
149,28,6,45,3,Some Random Commen with Id 149
150,28,6,51,5,Some Random Commen with Id 150
151,28,6,190,1,Some Random Commen with Id 151
152,28,6,66,9,Some Random Commen with Id 152
153,29,6,113,4,Some Random Commen with Id 153
154,29,6,63,0,Some Random Commen with Id 154
155,29,6,150,7,Some Random Commen with Id 155
156,29,6,195,8,Some Random Commen with Id 156
157,29,6,168,6,Some Random Commen with Id 157
158,30,8,95,9,Some Random Commen with Id 158
159,30,8,154,7,Some Random Commen with Id 159
160,30,8,6,1,Some Random Commen with Id 160
161,30,8,73,0,Some Random Commen with Id 161
162,30,8,181,6,Some Random Commen with Id 162
163,30,8,4,6,Some Random Commen with Id 163
164,30,8,67,1,Some Random Commen with Id 164
165,30,8,116,3,Some Random Commen with Id 165
166,31,7,31,7,Some Random Commen with Id 166
167,31,7,162,6,Some Random Commen with Id 167
168,32,8,14,4,Some Random Commen with Id 168
169,32,8,150,7,Some Random Commen with Id 169
170,32,8,150,1,Some Random Commen with Id 170
171,32,8,37,8,Some Random Commen with Id 171
172,33,1,27,1,Some Random Commen with Id 172
173,33,1,29,2,Some Random Commen with Id 173
174,33,1,137,2,Some Random Commen with Id 174
175,33,1,90,6,Some Random Commen with Id 175
176,33,1,60,4,Some Random Commen with Id 176
177,34,0,20,1,Some Random Commen with Id 177
178,34,0,177,3,Some Random Commen with Id 178
179,34,0,145,2,Some Random Commen with Id 179
180,34,0,56,5,Some Random Commen with Id 180
181,34,0,152,0,Some Random Commen with Id 181
182,35,2,36,7,Some Random Commen with Id 182
183,35,2,170,2,Some Random Commen with Id 183
184,35,2,71,8,Some Random Commen with Id 184
185,36,5,71,1,Some Random Commen with Id 185
186,36,5,60,1,Some Random Commen with Id 186
187,36,5,30,9,Some Random Commen with Id 187
188,36,5,27,3,Some Random Commen with Id 188
189,36,5,137,0,Some Random Commen with Id 189
190,36,5,181,7,Some Random Commen with Id 190
191,36,5,194,1,Some Random Commen with Id 191
192,36,5,53,2,Some Random Commen with Id 192
193,36,5,185,8,Some Random Commen with Id 193
194,37,8,189,4,Some Random Commen with Id 194
195,37,8,65,4,Some Random Commen with Id 195
196,37,8,40,9,Some Random Commen with Id 196
197,37,8,1,2,Some Random Commen with Id 197
198,38,5,163,6,Some Random Commen with Id 198
199,39,9,173,7,Some Random Commen with Id 199
200,39,9,51,3,Some Random Commen with Id 200
201,39,9,27,7,Some Random Commen with Id 201
202,39,9,63,5,Some Random Commen with Id 202
203,39,9,70,6,Some Random Commen with Id 203
204,39,9,73,6,Some Random Commen with Id 204
205,39,9,50,3,Some Random Commen with Id 205
206,39,9,35,6,Some Random Commen with Id 206
207,39,9,125,7,Some Random Commen with Id 207
